,Artista Original,Artista Similar,Coincidencia
137,Ariana Grande,Selena Gomez,0.295510
138,Ariana Grande,Tori Kelly,0.295153
139,Ariana Grande,Taylor Swift,0.291051
140,Ariana Grande,Zendaya,0.288920
141,Ariana Grande,Whitney Houston,0.286598
142,Ariana Grande,Jhené Aiko,0.286260
143,Ariana Grande,Kali Uchis,0.285331
144,Ariana Grande,Cassie,0.283531
145,Ariana Grande,Katy Perry,0.276385
146,Ariana Grande,Little Mix,0.276373
147,Ariana Grande,Zara Larsson,0.275554
148,Ariana Grande,JoJo,0.274925
149,Ariana Grande,Who Is Fancy,0.270740
150,Ariana Grande,Lana Del Rey,0.266631
151,Ariana Grande,Dove Cameron,0.264538
152,Ariana Grande,Melanie Martinez,0.263182
153,Ariana Grande,Victoria Justice,0.257721
154,Ariana Grande,Lady Gaga,0.256094
155,Ariana Grande,Bruno Mars,0.255681
156,Ariana Grande,Miley Cyrus,0.254113
157,Ariana Grande,Ava Max,0.252890
158,Ariana Grande,Demi Lovato,0.251901
159,Ariana Grande,pinkpantheress,0.251287
160,Ariana Grande,The Pussycat Dolls,0.248122
161,Ariana Grande,Fergie,0.245920
162,Ariana Grande,Brandy,0.241191
163,Ariana Grande,Coco Jones,0.236918
164,Ariana Grande,Kim Petras,0.234835
165,Ariana Grande,Jade,0.231114
166,Ariana Grande,Charli XCX,0.231023
167,Ariana Grande,Christina Aguilera,0.229686
168,Ariana Grande,Britney Spears,0.224378
169,Ariana Grande,Alina Baraz,0.222117
170,Ariana Grande,Ciara,0.220798
171,Ariana Grande,Meghan Trainor,0.218144
172,Ariana Grande,Pia Mia,0.212484
173,Ariana Grande,Lauren Jauregui,0.212012
174,Ariana Grande,Adele,0.211396
175,Ariana Grande,Doja Cat & The Weeknd,0.210719
176,Ariana Grande,Nessa Barrett,0.208945
177,Ariana Grande,Becky G,0.208810
178,Ariana Grande,Lizzo,0.207778
179,Ariana Grande,The Weeknd,0.207661
180,Ariana Grande,Rina Sawayama,0.205504
181,Ariana Grande,Aaliyah,0.204628
182,Ariana Grande,Mabel,0.203206
183,Ariana Grande,Gracie Abrams,0.202376
184,Ariana Grande,Jordin Sparks,0.202238
185,Ariana Grande,Selena Gomez & the Scene,0.196321
186,Ariana Grande,Reneé Rapp,0.194419
187,Ariana Grande,Jennifer Lopez,0.194041
188,Ariana Grande,Hailee Steinfeld,0.194003
189,Ariana Grande,Keke Palmer,0.192863
190,Ariana Grande,Danna Paola,0.192020
191,Ariana Grande,Zayn,0.190777
192,Ariana Grande,Halsey,0.188270
193,Ariana Grande,Muni Long,0.188072
194,Ariana Grande,Jessie J,0.184529
195,Ariana Grande,Justin Timberlake,0.184361
196,Ariana Grande,Rosalía,0.182976
197,Ariana Grande,Katseye,0.182656
198,Ariana Grande,Shawn Mendes,0.181216
199,Ariana Grande,Teyana Taylor,0.180347
200,Linkin Park,Mike Shinoda,1
201,Linkin Park,Dead By Sunrise,0.964761
202,Linkin Park,Jay-Z and Linkin Park,0.766528
203,Linkin Park,Dead Sara,0.511501
204,Linkin Park,Grey Daze,0.471841
205,Linkin Park,Papa Roach,0.406191
206,Linkin Park,Three Days Grace,0.378861
207,Linkin Park,Slipknot,0.368826
208,Linkin Park,Chester Bennington,0.345597
209,Linkin Park,Limp Bizkit,0.309708
210,Linkin Park,Korn,0.304600
211,Linkin Park,Breaking Benjamin,0.290377
212,Linkin Park,System of a Down,0.271211
213,Linkin Park,P.O.D.,0.239901
214,Linkin Park,Staind,0.236599
215,Linkin Park,Deftones,0.217926
216,Linkin Park,Disturbed,0.216899
217,Linkin Park,Evanescence,0.209542
218,Linkin Park,Thousand Foot Krutch,0.199381
219,Linkin Park,Adema,0.198229
220,Linkin Park,Saliva,0.196258
221,Linkin Park,Seether,0.193247
222,Linkin Park,Skillet,0.188450
223,Linkin Park,30 Seconds to Mars,0.184625
224,Linkin Park,Drowning Pool,0.184473
225,Linkin Park,Rage Against the Machine,0.184203
226,Linkin Park,Stone Sour,0.181939
227,Linkin Park,TRUSTcompany,0.181138
228,Linkin Park,Poppy,0.179202
229,Linkin Park,Twenty One Pilots,0.178620
230,Linkin Park,Mudvayne,0.177089
231,Linkin Park,Hoobastank,0.173202
232,Linkin Park,Crazy Town,0.172368
233,Linkin Park,Shinedown,0.166863
234,Linkin Park,Taproot,0.164131
235,Linkin Park,Godsmack,0.162647
236,Linkin Park,Trapt,0.161815
237,Linkin Park,Crossfade,0.151188
238,Linkin Park,Sick Puppies,0.150237
239,Linkin Park,Audioslave,0.150077
240,Linkin Park,Nickelback,0.148311
241,Linkin Park,Muse,0.148200
242,Linkin Park,The Offspring,0.147375
243,Linkin Park,Red,0.145360
244,Linkin Park,Green Day,0.145354
245,Linkin Park,Starset,0.145003
246,Linkin Park,Serj Tankian,0.144398
247,Linkin Park,Story of the Year,0.140735
248,Linkin Park,Nothing More,0.137632
249,Linkin Park,Ill Niño,0.137521
250,Linkin Park,Paramore,0.135291
251,Linkin Park,Corey Taylor,0.132798
252,Linkin Park,Alter Bridge,0.130932
253,Linkin Park,Red Hot Chili Peppers,0.130299
254,Linkin Park,Nonpoint,0.130280
255,Linkin Park,3 Doors Down,0.130132
256,Linkin Park,Xero,0.129888
257,Linkin Park,Good Charlotte,0.129162
258,Linkin Park,Lostprophets,0.129150
259,Linkin Park,Jonathan Davis,0.126755
260,Linkin Park,Billy Talent,0.126701
261,Linkin Park,Finger Eleven,0.126107
262,Linkin Park,Imagine Dragons,0.123748
263,Linkin Park,Flaw,0.122241
264,Linkin Park,A Perfect Circle,0.120996
265,Linkin Park,Static-X,0.120613
266,Linkin Park,Fever 333,0.120440
267,Linkin Park,From Ashes to New,0.118984
268,Linkin Park,Saint Asonia,0.118830
269,Linkin Park,Chevelle,0.118428
270,Linkin Park,12 Stones,0.118047
271,Linkin Park,Foo Fighters,0.117981
272,Linkin Park,Element Eighty,0.117948
273,Linkin Park,Yellowcard,0.117681
274,Linkin Park,Incubus,0.116954
275,Linkin Park,Alice in Chains,0.116127
276,Linkin Park,Coldplay,0.115057
277,Linkin Park,Alien Ant Farm,0.111891
278,Linkin Park,The Rasmus,0.110863
279,Linkin Park,Flyleaf,0.110141
280,Linkin Park,Guano Apes,0.110022
281,Linkin Park,10 Years,0.109458
282,Linkin Park,Cold,0.109121
283,Linkin Park,The Calling,0.108748
284,Linkin Park,Sevendust,0.108649
285,Linkin Park,Halestorm,0.107718
286,Linkin Park,My Chemical Romance,0.107544
287,Linkin Park,Daughtry,0.106246
288,Linkin Park,Creed,0.105681
289,Linkin Park,Coal Chamber,0.105243
290,Linkin Park,Puddle of Mudd,0.104649
291,Linkin Park,OneRepublic,0.103849
292,Linkin Park,The Pretty Reckless,0.101662
293,Linkin Park,Chad Kroeger,0.101014
294,Linkin Park,Placebo,0.099058
295,Linkin Park,Soil,0.098597
296,Linkin Park,Daron Malakian and Scars On Broadway,0.098412
297,Linkin Park,Nirvana,0.096995
298,Linkin Park,Mushroomhead,0.096259
299,Linkin Park,The Red Jumpsuit Apparatus,0.096205
300,Amelie lens,Charlotte de Witte,1
301,Amelie lens,Farrago,0.755257
302,Amelie lens,AIROD,0.751081
303,Amelie lens,Deborah De Luca,0.642902
304,Amelie lens,Joyhauser,0.626350
305,Amelie lens,Space 92,0.624670
306,Amelie lens,Lilly Palmer,0.598272
307,Amelie lens,Adam Beyer,0.479901
308,Amelie lens,Enrico Sangiuliano,0.457992
309,Amelie lens,Thomas Schumacher,0.429774
310,Amelie lens,Layton Giordani,0.424618
311,Amelie lens,Sam Paganini,0.396838
312,Amelie lens,UMEK,0.382235
313,Amelie lens,Alignment,0.379358
314,Amelie lens,Reinier Zonneveld,0.371894
315,Amelie lens,Eli Brown,0.367390
316,Amelie lens,Marie Vaunt,0.366058
317,Amelie lens,Under Black Helmet,0.361576
318,Amelie lens,Regal,0.353610
319,Amelie lens,Sara Landry,0.314398
320,Amelie lens,T78,0.309404
321,Amelie lens,Spektre,0.306418
322,Amelie lens,Indira Paganotto,0.301172
323,Amelie lens,Mha Iri,0.301048
324,Amelie lens,Teenage Mutants,0.298535
325,Amelie lens,Kobosil,0.282400
326,Amelie lens,Bart Skils,0.279431
327,Amelie lens,Hi-Lo,0.276104
328,Amelie lens,Trym,0.274478
329,Amelie lens,Cosmic Boys,0.271709
330,Amelie lens,AKKI (DE),0.271396
331,Amelie lens,Spartaque,0.260849
332,Amelie lens,The Age of Love,0.260809
333,Amelie lens,Klangkuenstler,0.258866
334,Amelie lens,Pan-Pot,0.258140
335,Amelie lens,anetha,0.255853
336,Amelie lens,BOSTON 168,0.255594
337,Amelie lens,I Hate Models,0.250379
338,Amelie lens,Mark Reeve,0.247400
339,Amelie lens,Belocca,0.243889
340,Amelie lens,999999999,0.242314
341,Amelie lens,Victor Ruiz,0.241472
342,Amelie lens,Alex Stein,0.238613
343,Amelie lens,Anfisa Letyago,0.226919
344,Amelie lens,Frankyeffe,0.226097
345,Amelie lens,Fjaak,0.221587
346,Amelie lens,Alan Fitzpatrick,0.221058
347,Amelie lens,Maddix,0.217192
348,Amelie lens,Wehbba,0.216920
349,Amelie lens,Mark Dekoda,0.215975
350,Amelie lens,ROBPM,0.209902
351,Amelie lens,Mathame,0.199587
352,Amelie lens,Basswell,0.199123
353,Amelie lens,Krl Mx,0.197471
354,Amelie lens,Nico Moreno,0.196750
355,Amelie lens,Kölsch,0.187453
356,Amelie lens,Dax J,0.185544
357,Amelie lens,Dusty Kid,0.181768
358,Amelie lens,Monika Kruse,0.177894
359,Amelie lens,Deniz Bul,0.174525
360,Amelie lens,FOVOS,0.174153
361,Amelie lens,Nina Kraviz,0.173762
362,Amelie lens,Stan Christ,0.170316
363,Amelie lens,The Rocketman,0.168943
364,Amelie lens,Boris Brejcha,0.168275
365,Amelie lens,Charlie Sparks (UK),0.167977
366,Amelie lens,Keith Carnal,0.167327
367,Amelie lens,Len Faki,0.159498
368,Amelie lens,Mossano,0.159498
369,Amelie lens,In Verruf,0.156082
370,Amelie lens,Agents Of Time,0.154562
371,Amelie lens,Rebūke,0.154467
372,Amelie lens,Julian Jeweil,0.152689
373,Amelie lens,ARTBAT,0.150592
374,Amelie lens,Karashnikov,0.148378
375,Amelie lens,Oliver Huntemann,0.141633
376,Amelie lens,Kevin De Vries,0.138215
377,Amelie lens,Rebekah,0.137354
378,Amelie lens,Rikhter,0.132640
379,Amelie lens,Mind Against,0.132165
380,Amelie lens,Metodi Hristov,0.132110
381,Amelie lens,Oxia,0.131579
382,Amelie lens,Hozho,0.130723
383,Amelie lens,Ann Clue,0.130610
384,Amelie lens,Ben Klock,0.130204
385,Amelie lens,Recondite,0.130081
386,Amelie lens,MOTVS,0.125379
387,Amelie lens,Carl Cox,0.123497
388,Amelie lens,Shlømo,0.122985
389,Amelie lens,Nur Jaber,0.122319
390,Amelie lens,Klanglos,0.121289
391,Amelie lens,Stella Bossi,0.121263
392,Amelie lens,DJ Gigola,0.121258
393,Amelie lens,Emmanuel Top,0.118585
394,Amelie lens,Jacidorex,0.118025
395,Amelie lens,Anyma,0.116862
396,Amelie lens,Stephan Bodzin,0.116576
397,Amelie lens,Ellen Allien,0.115760
398,Amelie lens,Ramon Tapia,0.115330
399,Amelie lens,PUSH,0.114222
400,Maneskin,Peppino Gagliardi,1
401,Maneskin,The Kolors,0.929485
402,Maneskin,ビリー・アイリッシュ,0.440584
403,Maneskin,エド・シーラン,0.435093
404,Maneskin,オアシス,0.353382
405,Maneskin,ウィーザー,0.350733
406,Maneskin,羊文学,0.335285
407,Maneskin,Thee Michelle Gun Elephant,0.303758
408,Maneskin,ニルヴァーナ,0.277208
409,Maneskin,SUPER BEAVER,0.268388
410,Maneskin,ルイス・キャパルディ,0.265563
411,Maneskin,ヤングブラッド,0.264898
