,ID,Artista_original,Artista_similar,Coincidencia
71,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Él mató a un policía motorizado,0.087032
72,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Brytiago,0.086257
73,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Árbol,0.086074
74,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Villa Cariño,0.085182
75,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Makano,0.085009
76,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,"Bad Bunny, Feid",0.083124
77,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Zion,0.081485
78,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Sech,0.080719
79,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,18 Kilates,0.080167
80,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Feid,0.079282
81,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Louta,0.078092
82,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Hernan y La Champion's Liga,0.075834
83,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Chino & Nacho,0.075213
84,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Arcangel,0.074918
85,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Paco Amoroso,0.072826
86,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ozuna,0.072492
87,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Wachiturros,0.071362
88,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Justin Quiles,0.070784
89,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Indio Solari,0.069589
90,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Seven Kayne,0.069197
91,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ñengo Flow,0.069105
92,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,tINI,0.068212
93,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Skay Beilinson,0.067723
94,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Yng Lvcas,0.067638
